security,lob_v_mean,lob_v_std,lob_p_mean,lob_p_std,vol_mean,vol_std,vol2_mean,vol2_std,vol5_mean,vol5_std,vol10_mean,vol10_std,vol20_mean,vol20_std,vol30_mean,vol30_std,vol60_mean,vol60_std
DFS,100.46850744810745,113.35552345213738,118.54555694352868,6.289491313798324,6.510665750915751,43.39435460984393,13.021331501831503,63.138873052884584,32.55332875457876,105.65182389195736,65.10665750915751,159.65401643624435,130.21331501831503,248.34305740432453,195.31997252747252,328.0120654502691,390.63994505494503,549.0537672363978
DG,86.15446752136752,219.6078396782517,217.1794671550672,10.43988557838598,7.509403540903541,58.99726830950459,15.018807081807083,85.491930445652,37.54701770451771,140.82375301513267,75.09403540903541,207.36040499934708,150.18807081807083,310.9029951527247,225.28210622710623,397.9836736145036,450.56421245421245,621.8018404072985
DGX,86.32039826007326,97.4028417896383,146.87558353235653,11.146540488645092,6.021481379731379,44.48844895866934,12.042962759462759,64.15485057268467,30.107406898656897,104.60263395052219,60.214813797313795,153.2594616398567,120.42962759462759,228.73061807728138,180.6444413919414,292.2042024222805,361.2888827838828,460.96633784221194
DHI,125.1861956959707,200.86151597251214,91.54102589835165,8.724995294378356,15.593191697191697,84.40009944309038,31.186383394383395,124.00268943747157,77.96595848595848,209.35800620714568,155.93191697191696,321.5575676335891,311.8638339438339,511.0386305701318,467.79575091575094,684.3881379285125,935.5915018315019,1166.8839752052406
DHR,75.82481416361416,101.46082680181226,299.9139797484736,19.641152849286076,8.47850641025641,56.52700594648069,16.95701282051282,81.64958913969595,42.39253205128205,134.43801264631514,84.7850641025641,199.2169993776172,169.5701282051282,301.6859570101439,254.3551923076923,388.6238942155698,508.7103846153846,629.0830286883719
DIS,133.7000414835165,258.9831528976528,156.36146684004885,15.182181182893254,49.693557997557996,196.11552234562834,99.38711599511599,292.15333095540257,248.46778998778998,508.76712556824486,496.93557997557997,807.1262966385858,993.8711599511599,1335.6161349705417,1490.80673992674,1820.756632932719,2981.61347985348,3215.3771666062103
DISCA,977.0577229242979,991.0972679442929,26.275278814713058,1.9617924413785357,69.03865445665446,385.9635240398079,138.0773089133089,571.915472678456,345.1932722832723,985.7184229701193,690.3865445665446,1519.5419402457162,1380.7730891330891,2412.0190772158785,2071.1596336996336,3199.8332841891925,4142.319267399267,5413.930256110776
DISCK,1225.2187471306472,912.9263906650797,25.669351016178265,2.075858371136196,45.541347374847376,281.587468319907,91.08269474969475,419.81942466397686,227.70673687423687,723.1771816506872,455.41347374847373,1134.4624138915947,910.8269474969475,1818.244101231887,1366.2404212454212,2416.760015043111,2732.4808424908424,4099.66564763724
DISH,391.7184183150183,718.8118012630815,35.54288115170941,5.377753381531161,21.956671245421244,192.70369727812204,43.91334249084249,282.44792711035717,109.78335622710622,480.1624384495013,219.56671245421245,738.5931907418687,439.1334249084249,1188.9730452067947,658.7001373626374,1592.3775840781943,1317.4002747252748,2736.736346015205
DLR,104.24486550671551,112.73424226272826,153.2207627081807,12.257290134921284,5.234027167277167,44.58282824913164,10.468054334554335,66.14230619913513,26.170135836385835,113.75817490950807,52.34027167277167,174.85398183356293,104.68054334554334,277.492589796359,157.020815018315,368.0748055599302,314.04163003663,607.8484768833082
DLTR,143.63518754578755,201.1244432528727,126.61257519566546,20.828702540784846,20.89869597069597,146.422597675014,41.79739194139194,221.48495006993983,104.49347985347985,398.4161462228166,208.9869597069597,636.270861812684,417.9739194139194,1064.2445311885497,626.9608791208791,1472.3989886959241,1253.9217582417582,2635.1942698705943
DOV,72.40047005494506,72.81889632242894,167.28254742673997,8.542604230086587,2.9134078144078144,27.16355428290955,5.826815628815629,39.28589648781396,14.567039072039073,64.57614330029782,29.134078144078146,95.18669972476229,58.26815628815629,144.02097191401458,87.40223443223444,185.7827160549412,174.80446886446887,299.4943383282094
DOW,433.49819416971917,329.8068888728994,58.81172218070818,2.632968094111003,27.041440476190477,128.17892273514252,54.082880952380954,188.0798915328316,135.20720238095237,318.87378916729097,270.41440476190473,487.212714930991,540.8288095238095,772.2302294056238,811.2432142857143,1025.2644396645112,1622.4864285714286,1728.3857364262615
DPZ,46.377382142857144,61.487937118397504,476.5590281639193,48.642281532159096,1.7442063492063493,21.42175115338535,3.4884126984126986,31.288147764301527,8.721031746031747,51.0797171721184,17.442063492063493,73.83816255974044,34.884126984126986,107.75571943805438,52.326190476190476,134.6761409472093,104.65238095238095,204.2606989943776
DRE,186.75411053113552,182.3623388650297,56.505502496642215,4.0105554229200635,6.9989337606837605,51.83656253935151,13.997867521367521,75.45498494522276,34.994668803418804,125.76368651124801,69.98933760683761,189.13523102759464,139.97867521367522,291.4047129104566,209.96801282051283,382.0216690878209,419.93602564102565,627.2298789549184
DRI,90.34739413919414,97.5378403569614,143.86541719902323,7.788139875065082,6.325664835164835,46.640050302631394,12.65132967032967,67.53879081065963,31.628324175824176,111.41659368574645,63.25664835164835,164.93370729093633,126.5132967032967,251.36920456309852,189.76994505494505,326.9732708906342,379.5398901098901,527.4360790589019
DTE,105.30461965811966,169.00990815693478,118.16704608760683,4.987733364175223,4.687275335775336,44.82027160370549,9.374550671550672,65.41311743676235,23.43637667887668,109.14685195979015,46.87275335775336,164.9945380529029,93.74550671550672,250.66031333515002,140.61826007326007,323.2233833126087,281.23652014652015,525.369298049425
DUK,155.68266825396825,187.10205106315743,102.6266214148352,2.8229903443688302,13.502771367521367,82.71502950784178,27.005542735042734,121.11613910547914,67.51385683760684,203.03430513875557,135.02771367521368,308.67819633580274,270.05542735042735,486.1166645082931,405.083141025641,635.6758408459368,810.166282051282,1066.41695353124
DVA,77.52458241758242,81.90923526732728,111.76747259706957,6.835258640076778,2.8032069597069595,27.519210698727846,5.606413919413919,39.80451388536738,14.016034798534799,65.32662193067253,28.032069597069597,96.04201043738485,56.064139194139194,144.11459709188028,84.0962087912088,184.88448307217357,168.1924175824176,293.2236865854145
DVN,555.1498551282051,658.2184447542365,45.690527728327204,8.973386548502658,61.314009462759465,284.94825578565246,122.62801892551893,416.9617525619769,306.5700473137973,702.5564128071154,613.1400946275946,1065.7541723193526,1226.2801892551893,1675.6755618647464,1839.420283882784,2222.275491204944,3678.840567765568,3707.553709744963
DXC,196.8496638888889,195.7711789204673,33.180126252136766,2.141949152653082,6.693714590964591,59.189113404387285,13.387429181929182,86.37431518772183,33.46857295482295,144.59928054311422,66.9371459096459,216.54070541696515,133.8742918192918,330.87901330259,200.81143772893773,429.8193739200423,401.62287545787547,698.1296497299228
DXCM,56.460097924297926,80.90693617744816,511.59385447191704,75.68130058046444,4.950988095238095,46.627731577964376,9.90197619047619,68.30499135285591,24.754940476190477,115.55776731908237,49.50988095238095,176.68615731533714,99.0197619047619,279.1001835551259,148.52964285714285,374.1073837294066,297.0592857142857,632.1442531257635
EA,131.00802753357755,245.43447106986378,133.25523239346768,6.636200192922696,19.54534706959707,129.96136505520877,39.09069413919414,192.1277510446098,97.72673534798535,330.77258093814805,195.4534706959707,516.1102186710789,390.9069413919414,844.811397750212,586.3604120879121,1152.8815805834301,1172.7208241758242,2035.0669648850267
EBAY,373.55076156898656,477.81456206276704,65.89211398687428,7.938740853213039,60.52472191697192,322.2391244503928,121.04944383394384,486.6536813553092,302.6236095848596,868.4804815972667,605.2472191697192,1390.1714751213412,1210.4944383394384,2328.5846262835157,1815.7416575091574,3208.528627417396,3631.483315018315,5742.428081310696
ECL,87.80892872405373,91.18141767398974,209.07276799267404,23.87775165779389,4.5208778998779,36.74020635674895,9.0417557997558,53.11137377683762,22.604389499389498,87.43571783324917,45.208778998778996,128.71777430611004,90.41755799755799,193.45150870228244,135.626336996337,249.51626542763907,271.252673992674,399.55451227635456
