security,mean_vol,std_vol,mean_vol5,std_vol5,mean_vol10,std_vol10,mean_vol20,std_vol20,mean_vol60,std_vol60
CDNS,10.854003082527672,97.59471595642982,54.270015412638365,247.70342687246568,108.54003082527673,378.6935367491278,217.08006165055346,594.951250648084,651.2401849516604,1303.4177015570926
MPWR,2.123907804399608,30.01728565251531,10.619539021998039,80.79767743677165,21.239078043996077,133.0621296366487,42.478156087992154,208.58971853903185,127.43446826397646,456.09661370301654
FB,133.4876656858624,553.666839455156,667.438328429312,1503.2946535081721,1334.876656858624,2405.3510397060136,2669.753313717248,4033.436206867833,8009.259941151744,9708.721574004234
NTRS,6.209908925318762,58.36971528778593,31.049544626593807,148.2929541939162,62.099089253187614,228.27190437388245,124.19817850637523,364.7005430872155,372.59453551912566,840.5001284136558
XEL,28.163833543505675,195.27280365379704,140.8191677175284,537.8306162895443,281.6383354350568,853.2832147948377,563.2766708701135,1406.6438654167487,1689.8300126103404,3423.2343573383196
NDAQ,6.178614964270702,52.69850148195081,30.89307482135351,128.60562523269056,61.78614964270702,194.25782795443945,123.57229928541403,306.97950601649814,370.7168978562421,680.619866397518
FOXA,27.45357433095138,203.24511645119762,137.2678716547569,522.6007428903263,274.5357433095138,806.0046962370353,549.0714866190276,1300.689603168166,1647.2144598570828,3019.1096019593874
AEP,23.874668628275185,143.45199274318156,119.37334314137593,387.98982296760073,238.74668628275185,621.3336756000392,477.4933725655037,1039.156616442093,1432.4801176965111,2493.0554033434983
MNST,18.7725108589043,132.85307904760415,93.8625542945215,358.5460700263225,187.725108589043,570.7186518012855,375.450217178086,943.3894169918478,1126.350651534258,2253.75046160966
ADI,28.76032296483116,160.39375265375475,143.80161482415582,436.6607478182764,287.60322964831164,706.0874095123584,575.2064592966233,1209.4014680636428,1725.6193778898696,3074.92744228272
NVDA,180.57186983326326,804.676792158336,902.8593491663164,2106.753188283114,1805.7186983326328,3351.8893127354936,3611.4373966652656,5550.148431125172,10834.312189995797,13383.10737661114
NTAP,14.239530615104385,104.22036807616755,71.19765307552193,267.4209306537184,142.39530615104385,414.681630265749,284.7906123020877,672.0489278297296,854.3718369062632,1545.8471581189478
CHTR,6.978256970715987,62.52384746206472,34.89128485357993,151.5241410279768,69.78256970715987,226.82571376822276,139.56513941431973,348.2200446023974,418.69541824295925,749.5326077047183
BKR,44.9209829059829,287.45986566458356,224.60491452991454,713.2885783213253,449.2098290598291,1079.4001884359857,898.4196581196582,1678.3075545598258,2695.2589743589742,3687.57673089757
MTCH,19.43624141796273,138.80930188735485,97.18120708981365,356.45405403835883,194.3624141796273,558.2207526165245,388.7248283592546,906.9721410923968,1166.1744850777638,2158.389890089923
SIVB,2.173024379991593,26.526787456906817,10.865121899957966,63.158252211964175,21.730243799915932,93.98333670218517,43.460487599831865,140.75644779788854,130.38146279949558,286.2463413515751
FFIV,3.4296174863387976,38.88013608320989,17.148087431693988,97.37461954560355,34.296174863387975,147.4417992273257,68.59234972677595,227.3110968695205,205.77704918032788,473.44595390406676
TER,10.786183970856102,81.11095282489141,53.93091985428051,209.65009566582356,107.86183970856102,332.0195743002443,215.72367941712204,552.8173280841454,647.1710382513661,1334.4963884254973
KLAC,7.3351562281070475,63.84102693663204,36.675781140535236,168.2860154837409,73.35156228107047,264.2541706009365,146.70312456214094,430.24501242109704,440.1093736864229,982.5520189814938
HAS,8.073520386717108,80.47108520356356,40.36760193358554,196.17272362352256,80.73520386717108,293.0953709505005,161.47040773434216,454.9859456123824,484.4112232030265,992.5159703966315
JBHT,4.076620428751577,42.49493456265017,20.38310214375788,102.85849692570976,40.76620428751576,153.02083370683883,81.53240857503152,235.24247518612262,244.59722572509457,493.842464862625
CTXS,12.8660774835365,108.15689088016202,64.3303874176825,286.76705519322866,128.660774835365,449.97989115921087,257.32154967073,733.7695253988435,771.96464901219,1736.4244287058825
NWL,17.83070267619448,184.47987978903606,89.1535133809724,463.1109402861659,178.3070267619448,704.2979539821278,356.6140535238896,1100.7668616878727,1069.8421605716687,2383.208284620127
PFG,15.175225584979684,108.60017947884604,75.87612792489841,295.65515863334616,151.75225584979682,477.6003411457876,303.50451169959365,778.7056220988069,910.513535098781,1866.7210567251125
HST,52.74202466022138,517.5253485601897,263.71012330110693,1262.337601719282,527.4202466022139,1903.2492408392734,1054.8404932044277,2922.38549722617,3164.5214796132827,6198.9758657688935
HBAN,55.408603054504695,619.6335854837607,277.04301527252346,1467.1520120634857,554.0860305450469,2154.5094306198453,1108.1720610900938,3261.4389827814884,3324.5161832702815,6555.016971544548
VTRS,48.791422866750736,618.1452667835025,243.95711433375368,1566.6558144383137,487.91422866750736,2393.9670000562132,975.8284573350147,3703.7499612845536,2927.485372005044,7985.212952126679
IDXX,2.204203446826398,28.819831358679867,11.021017234131989,68.03939728933929,22.042034468263978,99.14216654524908,44.084068936527956,146.68877921820442,132.25220680958387,289.01044710439635
ADSK,10.157618046798374,72.66205945834751,50.78809023399187,186.09631831021923,101.57618046798375,290.82283748184557,203.1523609359675,473.1063948871381,609.4570828079025,1134.640276561486
GOOGL,8.115924057727337,61.218060366060314,40.57962028863668,150.3839168968083,81.15924057727337,226.32178474118538,162.31848115454673,355.2402701011222,486.95544346364017,793.2880258265072
AKAM,12.667670589883704,109.8634555960453,63.33835294941852,268.50634148395727,126.67670589883704,404.5731303586937,253.35341179767408,628.0172932742006,760.0602353930223,1391.647209294038
AMD,251.39364719069638,932.177629144479,1256.9682359534818,2521.3982156955703,2513.9364719069636,4081.5342049533015,5027.872943813927,6889.727005989712,15083.618831441781,16993.40885736315
WDC,29.92214165615805,217.5175246366113,149.61070828079025,554.2041763595654,299.2214165615805,868.4111433654697,598.442833123161,1416.2048787564922,1795.3284993694829,3434.631915129253
CPRT,6.7335063752276865,58.69849256810454,33.66753187613843,152.10841125157944,67.33506375227687,235.42961620997525,134.67012750455373,375.4100804783431,404.0103825136612,861.3197848971154
MDLZ,54.26089043015273,335.88616943739675,271.3044521507636,905.9397367092166,542.6089043015272,1453.4898996405277,1085.2178086030544,2407.3185901412703,3255.6534258091633,5850.567090664491
UAL,84.12513451029845,511.52530891056847,420.62567255149224,1303.591680249145,841.2513451029845,2031.8721281678943,1682.502690205969,3299.8810972078145,5047.508070617907,7662.399072836527
CME,9.192633459436738,100.7544586529455,45.96316729718369,255.66830730522685,91.92633459436738,380.4650256543559,183.85266918873475,594.2829509876719,551.5580075662043,1289.5606478400837
INTU,9.602636962309093,70.18709537618119,48.013184811545464,173.74153102634403,96.02636962309093,262.28368633895474,192.05273924618186,414.78741126753164,576.1582177385457,951.1801261960322
TMUS,37.532545887627855,225.02452723575954,187.66272943813928,587.1929316091674,375.32545887627856,921.5387791835127,750.6509177525571,1517.7537917445106,2251.9527532576712,3677.766065321064
GOOG,6.1276719910326465,48.450818325409806,30.638359955163235,119.14364132500049,61.27671991032647,177.9897631090467,122.55343982065294,275.1688710915061,367.6603194619588,611.5858345652224
TRMB,8.836155947877259,74.05490798417446,44.180779739386296,184.82313348803453,88.36155947877259,284.7769842599023,176.72311895754518,451.10969527891467,530.1693568726356,1007.296791002733
ATVI,90.373438419504,439.24229210090914,451.86719209752,1181.0961318212242,903.73438419504,1896.782717135106,1807.46876839008,3201.4468100982494,5422.40630517024,7951.291716794149
ABMD,1.8064564943253467,26.482004629835327,9.032282471626734,62.815040282649484,18.06456494325347,92.18585990082327,36.12912988650694,137.53549612210745,108.3873896595208,273.9599458806089
WBA,44.767168978562424,291.8264617586445,223.8358448928121,769.9706363537457,447.6716897856242,1206.1953937279923,895.3433795712484,1956.9348783600421,2686.030138713745,4615.892793884169
